Ki [nM],pKi,standardized_smiles
584.0,6.2335871528876,COc1ccccc1N1CCN(CCCCCN2C(=O)c3ccccc3S2(=O)=O)CC1
11.6,7.935542010773082,O=C(NC1CCC(CCN2CCC(c3ccc(F)c4occc34)CC2)CC1)C1CCOCC1
3.7,8.431798275933005,Cc1cccc(S(=O)(=O)NCCCN2CCC(c3noc4cc(F)ccc34)CC2)c1
27.48,7.560983271612487,CS(=O)(=O)NC1CCC(CCN2CCC(c3noc4ccc(F)cc34)CC2)CC1
154.88,6.810004660035681,O=C1c2ccccc2CCCN1CCN1CCC(Oc2ccccc2)CC1
69.0,7.161150909262744,CN(C1CCN(CCOc2ccccc2-c2ccccc2)CC1)S(=O)(=O)c1ccc(F)cc1
190.0,6.721246399047171,CC1CC(=O)Nc2c(CCN3CCN(c4noc5ccccc45)CC3)cccc21
12.43,7.905528871358356,O=C(CO)NC1CCC(CCN2CCN(c3cccc4c3OCO4)CC2)CC1
22.32,7.651305809734459,O=C(NC1CCC(CCN2CCC(c3noc4ccc(F)cc34)CC2)CC1)c1ccc(N2CCOCC2)cc1
197.0,6.705533773838407,CN1CCN(c2nc(N)nc(CSc3ccccc3)n2)CC1
1300.0,5.886056647693163,O=C1COc2c(N3CCN(CCCCOc4ccn5nccc5c4)CC3)ccc(O)c2N1
0.17,9.769551078621726,CC1CC(=O)Nc2c(CCN3CCN(c4nsc5ccccc45)CC3)cc(F)cc21
431.0,6.3655227298392685,CCc1cc2c(c(C(F)(F)F)c1)C(=O)N1CCNCC21
98.6,7.006123085058789,CC(C)c1ccc2[nH]cc(C3=CCCNC3)c2c1
1584.89,5.800000874803203,Cc1cc2c(cc1Cl)N(C(=O)Nc1ccc(Oc3cccnc3C)nn1)CC2
27.0,7.568636235841013,O=C1c2nc(Cl)ccc2CCN1CCN1CCN(c2noc3ccccc23)CC1
200.0,6.698970004336019,Cc1cc(F)ccc1CN(C(=O)Cc1ccc(OCC(C)C)cc1)C1CCN(C)CC1
5.012,8.299988937677888,Cn1ncc(Br)c1-c1cc(NC(=O)Nc2ccc(Cl)cc2)ccc1OCc1ccccc1
9.394,8.02714944415277,O=C(CC1OCCCO1)NC1CCC(CCN2CCC(c3noc4cc(F)c(F)cc34)CC2)CC1
1000.0,6.0,COc1cc(OC)c(C(=O)CCCCN2CCC3(CC2)NC(=O)NC3=O)cc1NS(=O)(=O)c1ccc(OC(F)(F)F)cc1
44.0,7.356547323513812,Cc1cnc(N2CCN(CCC3CCC(NC(=O)CC4CCOCC4)CC3)CC2)c2c1OCC2
9.53,8.020907099361674,O=C1NCc2ccc(OCCCCN3CCN(c4cccc5cc(F)ccc45)CC3)cc21
6425.4,5.19209983104952,Nc1nc2c(c(N3CCNCC3)n1)CC=C1OC3CCCCC3C12
17.38,7.7599502278873524,O=C1CC(CN2CCC(C(=O)c3ccc(F)cc3)CC2)Cc2oc(-c3ccccc3)cc21
42.3,7.373659632624958,O=C(NCCC(O)CN1CCN(c2cccc(Cl)c2Cl)CC1)c1ccc(-c2ccccn2)cc1
6.457,8.18996921359416,CNc1ncc2c(n1)CC(CN1CCC(C(=O)c3ccc(F)cc3)CC1)CC2=O
11.1,7.954677021213342,O=C(NC1CCC(CCN2CCN(c3nccc4c3CCO4)CC2)CC1)c1ccc(F)cc1
1.4,8.853871964321762,CCN(CCN1CCC(c2noc3cc(F)ccc23)CC1)C(=O)C(O)C(C)C
125.89,6.900008766455316,Cc1cc(S(=O)(=O)Nc2ccc3c(c2)CCN(C)CC3)ccc1-c1ccc(Cl)cc1
0.89,9.050609993355087,CC(C)COc1ccc(CNC(=O)N(Cc2ccn(C)n2)C2CCN(C)CC23CC3)cc1
2.2,8.657577319177793,CNCc1cc(OCc2cc(F)ccc2F)n(CC2CCCC2)n1
5010.0,5.300162274132754,CCC1CN2CCc3c([nH]c4cccc(OC)c34)C2CC1C(=COC)C(=O)OC
11.0,7.958607314841775,O=C(CC(F)(F)F)NC1CCC(CCN2CCN(c3nccc4c3CCO4)CC2)CC1
230.0,6.638272163982407,CC(C)c1ccccc1OCCN1CCC(N(C)S(=O)(=O)c2cccc(F)c2)CC1
1.3,8.886056647693163,Cn1c(F)cc2c1CCN(CCN1CCN(c3nsc4ccccc34)CC1)C2=O
2.5,8.602059991327963,CNCc1cc(OCc2cc(C)ccc2F)n(C(C)C2CCCCC2)n1
65.0,7.187086643357144,COc1ccc(CCN(CCCc2ccccc2F)CCc2ccc3c(c2)OCO3)cc1OC
4.96,8.304518323509802,Cc1ccccc1OC(=O)NC1CCC(CCN2CCN(c3nsc4ccccc34)CC2)CC1
17.0,7.769551078621726,Nc1nc(N)nc(NCCCCCN2CCN(c3cccc(Cl)c3Cl)CC2)n1
557.0,6.254144804826271,CN(C1CCN(CCOc2ccccc2C(C)(C)C)CC1)S(=O)(=O)c1cnn(C)c1
30.899999999999995,7.510041520575165,O=C(CCCN1C2CCC1CC(O)(c1ccc(Cl)cc1)C2)c1ccc(F)cc1
456.0,6.341035157335565,CCc1cc(C)c2c(c1)CC1CNCCN1C2=O
676.0,6.170053304058364,Cc1c(CCN)c2cccc3c2n1CCC3
3.2,8.494850021680094,Cn1nccc1-c1cc(NC(=O)Nc2ccc(F)cc2F)ccc1OCCN1CCCCC1
398.11,6.399996913372259,COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cccc(-c3cccnc3)c1C)CC2
125.89,6.900008766455316,COc1ccc2c(c1)-c1c(ccn1CC(C)N)C2
4.9,8.309803919971486,O=S(=O)(NCCCCN1CCC(c2noc3cc(F)ccc23)CC1)c1ccc(Cl)c(Cl)c1
0.52,9.2839966563652,NC(=O)c1ccc(S(=O)(=O)C2CCN(CCc3ccc(F)cc3F)CC2)cc1
125.89,6.900008766455316,COc1ccc2c(c1)-c1c(ccn1CC(C)N)C2
300.0,6.522878745280337,Brc1ccc2c3c1CCN3CCNC2
1.4,8.853871964321762,O=C(CO)NC1CCC(CCN2CCN(c3nccc4sccc34)CC2)CC1
88.5,7.053056729302175,CCCNC(C)Cc1cc(OC)c(Br)cc1OC
189.0,6.723538195826756,Oc1c2c(c(O)n1CCCCCCN1CCN(c3cccc(C(F)(F)F)c3)CC1)C1CCC2C1
3820.0,5.4179366370882915,CCOc1cc2c(c(C(F)(F)F)c1)C(=O)N1CCNCC21
19.0,7.721246399047171,O=S(=O)(c1ccccc1)c1c[nH]c2cccc(CCNC3CCCC3)c12
3.62,8.441291429466835,O=C(c1ccc(F)cc1)C1CCN(CCc2ccc(I)cc2)CC1
0.15,9.823908740944319,Cn1nccc1-c1cc(NC(=O)Nc2ccc(Cl)cc2)ccc1OCCN1CCCC1
511.0,6.291579099865287,COc1cccc2c1CC1CNCCN1C2=O
3.0,8.522878745280337,O=C1c2ncccc2CCN1CCN1CCN(c2nsc3cc(F)ccc23)CC1
336.0,6.4736607226101555,CCc1cccc(N2CCN(CC(F)CCNC(=O)c3cc4ccccc4o3)CC2)c1Cl
4.365,8.36001575195841,O=S(=O)(CC1CCN(CCCc2noc3cc(F)ccc23)C1)c1cccc(Cl)c1
0.631,9.199970640755865,COc1cccc(CCc2ccccc2OCC(O)CN(C)C)c1
316.23,6.499996931948306,O=C(O)C1CCN(C2CCC3(Cc4ccccc4Oc4ccccc43)C2)CC1
65.0,7.187086643357144,CC1(CN)c2ccccc2Cc2ccccc21
4010.0,5.396855627379818,Cc1ccc(Cl)c2c1C1CNCCN1C2=O
17.6,7.7544873321858505,Cn1nccc1-c1cc(NC(=O)Nc2ccc(Cl)cc2)ccc1OCCN1CCNCC1
6.3785,8.195281440136988,COc1cc(SC(F)F)c(OC)cc1CCN
18.3,7.73754891026957,Nc1nc(SCCN2CCN(Cc3ccccc3Cl)CC2)nc(N)c1Cc1ccccc1
3.3,8.481486060122112,COc1cccc(NC(=O)Nc2ccc(OCCN3CCCCC3)c(-c3ccnn3C)c2)c1
3.6,8.443697499232712,Cn1cc(Br)c(C(=O)N2CCN(CCc3ccc(F)cc3)CC2)n1
3.6,8.443697499232712,Cc1cccc(N2CCN(CCCCNC(=O)c3cc4ccccc4o3)CC2)c1C
790.0,6.102372908709558,ON=Cc1cnn2ccc(OCCCCN3CCN(c4ccc(O)c5c4OCCO5)CC3)cc12
10.3,7.987162775294828,CCN(CCN1CCN(c2noc3cc(F)ccc23)CC1)C(=O)C(C)O
7.943,8.100015437450608,Cc1cc2c(cc1Cl)N(C(=O)Nc1ccc(Oc3cnccc3C)nc1)CC2
0.41,9.387216143280265,Cn1nccc1-c1cc(NC(=O)Nc2ccc(Cl)cc2)ccc1OCCN1CCCCC1
573.0,6.24184537803261,CN1CCN(c2nc(N)nc(C(C)(C)Oc3ccccc3Cl)n2)CC1
13.0,7.886056647693163,CCCc1ccc2c(c1)Oc1cc(Cl)ccc1N=C2N1CCN(CC(C)(C)C(=O)O)CC1
478.63,6.32000008377078,C=CCN(CC=C)CCc1c[nH]c2ccc(Br)cc12
251.19,6.599997654072044,COc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1cccc(-c3cnccc3C)c1)CC2
0.6,9.221848749616356,Cn1ncc(Cl)c1-c1cc(NC(=O)c2cccc(F)c2)ccc1OCCN1CCOCC1
6.5,8.187086643357144,Cc1c(S(=O)(=O)NCCCCN2CCN(c3nsc4ccccc34)CC2)sc2ccc(F)cc12
501.19,6.299997602857746,CCc1cc2c(cc1C(F)(F)F)N(C(=O)Nc1ccc(Oc3cccnc3C)nc1)CC2
110.0,6.958607314841775,CN(C)C1Cc2ccccc2C(c2cccc(F)c2)C1
12.4,7.906578314837765,Cn1nc(CCCN2CCC3C(C2)c2cccc4c2N3CC(=O)N4)c2ccc(F)cc21
65.7,7.182434630440219,Cc1cc2c(cc1OCCCN1CCN(c3cccc4cccc(F)c34)CC1)C(=O)NC2
423.0,6.373659632624958,CN(C)CC1CC2c3ccccc3Oc3ccc(F)cc3C2O1
0.54,9.267606240177031,Cn1nc2c(c1Br)C(=O)N(CCN1CCN(c3nsc4ccccc34)CC1)CC2
287.0,6.542118103266008,Cn1nccc1-c1cc(NC(=O)c2cccc(C(F)(F)F)c2)ccc1OCCN1CCNC(=O)C1
19.95,7.700057099977233,Cn1ncc(Br)c1-c1cc(NC(=O)Nc2ccc(Cl)cc2)ccc1OCc1ccc(Cl)cc1
1.92,8.71669877129645,Nc1nc(-c2ccc(F)cc2)c(C2CCN(CCCC(=O)c3ccc(F)cc3)C2)s1
250.0,6.6020599913279625,CC(C)Oc1cccc2c1C(=O)N1CCNCC21
1.1,8.958607314841775,O=C(CCCN1CCC2C(C1)c1cccc3c1N2CCCC3)c1ccc(F)cc1
31.29,7.5045944368538064,O=C(CF)NC1CCC(CCN2CCN(c3cccc4c3OCO4)CC2)CC1
334.0,6.476253533188435,COc1cccc(N2CCN(CCCCCCN3C(=O)c4cccc5cccc(c45)C3=O)CC2)c1
268.0,6.5718652059712115,CCCCOc1cc2c(cc1OC)-c1c(OC)c(OC)cc3c1C(C2)N(C)CC3
0.4,9.397940008672037,Cc1cccc(S(=O)(=O)NCCCCN2CCN(c3nsc4ccccc34)CC2)c1
0.99,9.00436480540245,COC1CN(CCOc2ccc(NC(=O)Nc3ccc(Cl)cc3)cc2-c2ccnn2C)C1
190.0,6.721246399047171,O=S(=O)(NCCCCN1CCN(c2noc3ccccc23)CC1)c1cc2ccccc2s1
1.4,8.853871964321762,CNCc1cc(OCc2ccc(F)cc2C)n(CC2CCCCC2)n1
30.0,7.522878745280337,CC(=O)c1c(OCCCCN2CCN(c3cccc(Cl)c3Cl)CC2)ccc2c(C)cc(=O)oc12
92.0,7.036212172654444,CCCCC(=O)Oc1cccc2c1-c1cccc3c1C(C2)N(CCC)CC3
8.26,8.083019952679617,O=C(CCO)NC1CCC(CCN2CCC(c3coc4ccccc34)CC2)CC1
109.825,6.959298788062642,Clc1ccc2c(c1)CC(CCN1CCN(c3ccccn3)CC1)C2
62.0,7.2076083105017466,CCC(Oc1cc(Cl)ccc1Cl)c1nc(N)nc(N2CCNCC2)n1
661.0,6.179798540514359,CCc1[nH]c(N)nc1-c1cn(S(=O)(=O)c2ccccc2)c2ccc(OC)cc12
0.8,9.096910013008056,CC(O)C(=O)N(CCN1CCC(c2noc3cc(F)ccc23)CC1)CC1CC1
1.2,8.920818753952375,O=S(=O)(c1ccccc1)C1CCN(CCc2ccccc2)CC1
0.64,9.193820026016112,O=C(NC1CCC(CCN2CCN(c3nsc4ccccc34)CC2)CC1)c1cc2ccccc2[nH]1
136.0,6.866461091629782,Cc1ccc2c(n1)N1C(C)CNCC1C2
83.38,7.078938109209721,OCCN1CCN(c2nc(Nc3cccc(O)c3)c3ccccc3n2)CC1
0.6,9.221848749616356,O=C1c2c[nH]nc2CCN1CCN1CCN(c2nsc3ccccc23)CC1
0.25,9.602059991327963,Fc1ccc2c(C3CNCCC3F)c(C3CCCCC3)[nH]c2c1
2.77,8.557520230935552,Cc1c2c(nn1C)CCN(CCN1CC=C(c3noc4ccccc34)CC1)C2=O
5.9,8.229147988357855,CNCc1cc(OCc2cc(Cl)ccc2F)n(CCC(C)(C)CO)n1
1189.0,5.924818145381308,O=C(NCCCCN1CCN(c2ccccc2C(F)(F)F)CC1)c1[nH]nc2ccccc12
630.96,6.199998172182031,COc1ccc(N2CC=C(c3ccc(C)cc3)C2=O)cc1OCCN1CCC(C)CC1
13.344999999999999,7.874681421876473,c1cc(CC2CCC2)c2c(n1)N1CCNCC1CC2
91.0,7.040958607678906,CCC1NCCN2C(=O)c3c(cccc3C(F)(F)F)C12
63.1,7.199970640755866,CCCCOc1ccc(CC(=O)N(Cc2ccc(F)cc2F)C2CCN(C)CC2)cc1
1.7,8.769551078621726,CN1CCN2c3c(cccc31)C1CCN(CCCC(=O)c3ccc(F)cc3)CCC12
2.9,8.537602002101044,Cc1cccc(N)c1C(=O)NN1c2ccc(Cl)cc2N=C(N2CCN(C)CC2)c2ccccc21
1488.0,5.82739706879014,CCc1cc(Cl)c2c(c1)C1CNCC1NC2=O
31.62,7.50003813440381,Cc1c(Cl)cc2c(c1Cl)CCN2C(=O)Nc1cccnc1
6.5,8.187086643357144,Cn1cnc2c1CCN(CCN1CCN(c3nsc4ccccc34)CC1)C2=O
16.92,7.771599641296995,O=C(NC1CCC(CCN2CCC(c3cccc4c3OCO4)CC2)CC1)C1CCC1
1559.0,5.807153884811158,CC1Cn2c3c(c4cccc(c42)CN1)CCCC3
14.7,7.8326826652518236,CCN1CCN(c2cc(-c3ccc(F)cc3)c3c(n2)CCCC(O)CC3)CC1
24.14,7.617262734238669,COC(C(=O)NC1CCC(CCN2CCN(c3cccc4c3OCO4)CC2)CC1)C(C)C
210.0,6.6777807052660805,CN(C)C1Cc2ccccc2C(c2ccc(C(F)(F)F)cc2)C1
0.66,9.18045606445813,N#Cc1cccc(S(=O)(=O)C2CCN(CCc3ccc(F)cc3F)CC2)c1
1.288,8.890084136976206,Cn1ccc2c(S(=O)(=O)NC3CCN(CCCc4noc5ccccc45)C3)cccc21
70.0,7.154901959985743,Clc1ccc(Cl)c(-c2cc(Cl)cc3c2N2CCNCCC2C3)c1
351.0,6.454692883534176,CCc1c(CC2CCCC2)cnc2c1CCC1CNCCN21
31.6,7.5003129173815966,COc1cc(F)c(CN(C(=O)Cc2ccc(OCC(C)C)cc2)C2CCN(C)CC2)c(F)c1
223.0,6.651695136951839,O=c1n(CCCCCCN2CCN(c3cccc4ccccc34)CC2)nc2ccccn12
12830.0,4.891773343625071,COc1ccccc1OCCNc1nc(N)nc(NCCc2c[nH]c3ccccc23)n1
1584.89,5.800000874803203,COc1cc2c(cc1Br)N(C(=O)Nc1cccnc1)CC2
22.955,7.639122702897961,COc1cc(SCCC(F)F)c(OC)cc1CCN
0.55,9.259637310505756,CCN(CC)CCCOc1ccc(NC(=O)Nc2ccc(Cl)cc2)cc1-c1ccnn1C
18.0,7.7447274948966935,Fc1ccc(OCCCN2CCN(c3ccccn3)CC2)cc1
13.0,7.886056647693163,Fc1ccc(Cc2nc3c(c(-c4ccc(F)cc4)n2)CNCC3)cc1
392.0,6.406713932979542,CC(O)c1ccc2c(n1)N1C(C)CNCC1C2
2402.0,5.619426996933113,COc1ccc(F)cc1OC(C)c1nc(N)nc(N2CCN(C)CC2)n1
3.895,8.409492537991417,O=C(CCCN1CCc2ccccc2C1)c1ccccc1
25.1,7.600326278518962,CC(C)Oc1ccc(COC(=O)N(Cc2ccc(F)cc2F)C2CCN(C3COC3)CC2)cc1
7.7,8.113509274827518,O=C(CCCN1CCC2C(C1)c1cccc3c1N2CCC3)c1ccc(F)cc1
57.32,7.241693818274693,O=S(=O)(NC1CCC(CCN2CCN(c3cccc4c3OCO4)CC2)CC1)c1ccc(F)cc1
10.0,8.0,COc1cc(CC(C)N)c(OC)cc1CCCc1ccccc1
1.714,8.76598918241282,O=C(NC1CCC(CCN2CCC(c3noc4cc(F)ccc34)CC2)CC1)c1ccc2c(c1)OCO2
179.0,6.747146969020107,Cc1nc2c(o1)C(=O)N(CCN1CCN(c3noc4ccccc34)CC1)CC2
5.98,8.223298816011589,O=C(NC1CCC(CCN2CCN(c3cccc4c3OCO4)CC2)CC1)C1(O)CCC1
222.0,6.653647025549361,CC(C)OCc1ccnc2c1CCC1CNCCN21
0.3162,9.500038134403809,COc1ccc(NC(=O)Nc2cc(F)cc(F)c2)cc1-c1c(Br)cnn1C
249.0,6.603800652904264,O=C(Nc1cccnn1)N1CC(CC=Cc2cncc(Oc3ccc(C(F)(F)F)cn3)n2)C1
2718.0,5.565750547603525,CC1CCCN1CCc1cc2cc(C(=O)c3ccc(F)cc3)ccc2o1
1578.9450000000002,5.8016329976753775,C=CCOc1cc(F)c(F)cc1C1CC1CN
7.0,8.154901959985743,CC(=O)c1c(OCCCN2CCN(c3ccccc3Br)CC2)ccc2c(C)cc(=O)oc12
421.0,6.375717904164332,CC(C(O)c1ccc(O)cc1)N1CCC(Cc2ccccc2)CC1
44.835,7.348382825905038,COc1cc(CCN)cc(OC)c1SC(F)(F)F
1.2,8.920818753952375,CN(C1CCC(CCN2CCN(c3nsc4ccccc34)CC2)CC1)S(=O)(=O)c1cccs1
14.62,7.835052627378158,COCC(=O)NC1CCC(CCN2CCC(c3cccc4c3OCO4)CC2)CC1
79.43,7.100015437450609,O=C(O)C1=CCN(C2CCC3(Cc4ccccc4Cc4ccccc43)C2)CC1
0.96,9.017728766960431,CC1CN(CCN2CCN(c3nsc4ccccc34)CC2)C(=O)c2cnn(C)c21
10.0,8.0,O=S(=O)(NCCCN1CCN(c2nsc3ccccc23)CC1)c1ccc2ccccc2c1
370.0,6.431798275933005,CN(C)C1Cc2ccccc2C(C2CCCCCCC2)C1
1526.0,5.816445466381138,O=S1(=O)c2cccc3cccc(c23)N1CCCCCCN1CCN(c2ccc(C(F)(F)F)cc2)CC1
794.165,6.10008925683624,Cc1ccc2c(ccn2CC(C)N)c1
0.6,9.221848749616356,Cn1nccc1-c1cc(NC(=O)c2cccc(C(F)(F)F)c2)ccc1OCCN1CCCC1
25.3,7.5968794788241825,O=C1NCc2cc(Cl)c(OCCCCN3CCN(c4cccc5cccc(F)c45)CC3)cc21
99.5,7.002176919254275,COCCc1ccnc2c1CCC1CNCCN21
1770.0,5.752026733638194,NCCc1ccc(Br)cc1
234.0,6.6307841425898575,C=CCOc1c(OC)cc2c3c1-c1cc(N)ccc1CC3N(C)CC2
600.0,6.221848749616356,CCCNCCc1ccc(Cl)c(-c2ccccc2OC)c1
33.78,7.47134035476501,O=C(CC1CCCO1)NC1CCC(CCN2CCC(c3cccc4c3OCO4)CC2)CC1
15.8,7.801342913045577,CC(C)COc1ccc(COC(=O)N(Cc2ccc(F)cc2O)C2CCN(C)CC2)cc1
942.0,6.025949097207123,CC1CNCC2Cc3ccc(CO)nc3N12
2300.0,5.638272163982407,CCCN(CCCCOc1ccc2c(C=O)cnn2c1)C1CCc2c(O)cccc2C1
19.2,7.716698771296451,O=C(NC1CCC(CCN2CCN(c3nccc4c3CCO4)CC2)CC1)C(F)(F)F
2040.0,5.690369832574102,O=c1[nH]c2c(N3CCN(CCC4CCCN4S(=O)(=O)c4cncc5ccccc45)CC3)cccc2o1
12.7,7.896196279044043,CC(=O)N(C)c1ccc(OCCCN2CCC(c3noc4cc(F)ccc34)CC2)cc1
480.0,6.318758762624412,CN(C)CCSc1cccc(C2(O)CCCCC2)n1
2.0,8.698970004336019,Oc1cc2c3c(ccc2[nH]1)OC(CNCC1CCc2[nH]c4ccc(F)cc4c2C1)CO3
1.13,8.94692155651658,O=C1NCc2ccc(OCCCCN3CCN(c4cccc5cccc(F)c45)CC3)c(Cl)c21
16.0,7.795880017344075,OCc1cc2cc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)ccn2n1
28.0,7.552841968657781,COc1cccc(C(=O)Nc2ccc(OCCN3CCN(S(C)(=O)=O)CC3)c(-c3ccnn3C)c2)c1
3240.0,5.489454989793388,COc1ccccc1N1CCN(CC(F)CCNC(=O)c2cc3ccccc3[nH]2)CC1
1000.0,6.0,OC1(c2ccc(Cl)c(C(F)(F)F)c2)CCN(CCCC(c2ccccc2)c2ccccc2)CC1
82.0,7.086186147616283,CC(N)Cn1ncc2ccc(F)cc21
0.52,9.2839966563652,CCC(CC)Cn1nc(CNC)cc1OCc1cc(Cl)ccc1F
